Export: Participants API - Miracle Cup: Facebook Fundraiser and Mobile Data
Date: Oct 30, 2022 2:26:08 PM
"Summary:   9,128 records"

EVENTNAME,TEAMNAME,MOBILEREGISTRATION,CREATEDFACEBOOKFUNDRAISER
HuskerThon 2018,N/A,No,No
UNL Dance Marathon 2015,Chi Omega,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",N/A,No,Yes
HuskerThon 2018,Fiji,No,No
Huskerthon 2020,Sigma Alpha Epsilon,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Citylight,No,No
HuskerThon 2018,Phi Delta Theta,No,No
UNL Dance Marathon 2017,FarmHouse,No,No
HuskerThon 2018,FarmHouse,No,No
Huskerthon 2019,FarmHouse,No,No
UNL Dance Marathon 2016,Phi Mu,No,No
UNL Dance Marathon 2015,Phi Mu,No,No
Huskerthon 2019,Phi Mu,No,No
Huskerthon 2020,PIKE,No,Yes
Huskerthon 2019,PIKE,No,No
UNL Dance Marathon 2017,Sigma Chi,No,No
HuskerThon 2018,Sigma Chi,No,No
UNL Dance Marathon 2016,Kappa Sigma Alpha-Psi,No,No
Huskerthon 2019,Alpha Xi Delta,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",N/A,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",Phi Mu,No,No
"University of Nebraska, Lincoln - HuskerThon 2023",Ad Club,No,No
UNL Dance Marathon 2015,Alpha Omicron Pi,No,No
UNL Dance Marathon 2016,Morale Captains,No,No
UNL Dance Marathon 2017,Alpha Omicron Pi,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",N/A,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",The Courtyards,No,Yes
"University of Nebraska, Lincoln - HuskerThon 2021",Delta Delta Delta,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Delta Delta Delta,No,No
"University of Nebraska, Lincoln - HuskerThon 2023",Husker Heroes,Yes,Yes
UNL Dance Marathon 2015,CEHS Ambassadors,No,No
UNL Dance Marathon 2016,2016 Family Representatives,No,No
UNL Dance Marathon 2017,Ambassadors Committee,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",N/A,No,No
UNL Dance Marathon 2015,Morale Captain,No,No
UNL Dance Marathon 2016,Morale Captains,No,No
UNL Dance Marathon 2017,Alpha Xi Delta,No,No
UNL Dance Marathon 2016,Phi Mu,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",N/A,No,No
UNL Dance Marathon 2016,Delta Delta Delta,No,No
UNL Dance Marathon 2017,Delta Delta Delta,No,No
HuskerThon 2018,Delta Delta Delta,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",Kappa Delta,No,No
HuskerThon 2018,N/A,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",Frosty's Fundraisers,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",N/A,No,No
HuskerThon 2018,Chi Omega,No,No
UNL Dance Marathon 2016,Delta Gamma,No,No
UNL Dance Marathon 2017,Operations/ Programming Committee,No,No
UNL Dance Marathon 2016,Delta Gamma,No,No
UNL Dance Marathon 2017,Delta Gamma,No,No
HuskerThon 2018,Miracle Makers,No,No
Huskerthon 2019,#GBR,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Jacht,No,No
HuskerThon 2018,N/A,No,No
HuskerThon 2018,Sigma Phi Epsilon,No,No
HuskerThon 2018,FarmHouse,No,No
UNL Dance Marathon 2015,Pi Beta Phi,No,No
UNL Dance Marathon 2017,Alpha Phi,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",N/A,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",N/A,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",N/A,No,No
Huskerthon 2020,Delta Gamma,No,Yes
UNL Dance Marathon 2017,Alpha Delta Pi,No,No
Huskerthon 2020,Alpha Delta Pi,No,Yes
"University of Nebraska, Lincoln - HuskerThon 2021",N/A,No,No
Huskerthon 2020,KornForTheChildren,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",N/A,No,No
UNL Dance Marathon 2017,Sigma Alpha,No,No
UNL Dance Marathon 2016,Alpha Omicron Pi,No,No
Huskerthon 2019,N/A,No,No
UNL Dance Marathon 2015,Chi Omega,No,No
UNL Dance Marathon 2017,Delta Gamma,No,No
HuskerThon 2018,Delta Gamma,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Student Alumni Association,No,Yes
"University of Nebraska, Lincoln - HuskerThon 2022",PIKE,No,No
UNL Dance Marathon 2015,Beta Theta Pi,No,No
Huskerthon 2020,Pi Beta Phi,No,No
Huskerthon 2020,Phi Mu,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",Phi Mu,No,No
Huskerthon 2020,Big Red Believers,No,Yes
"University of Nebraska, Lincoln - HuskerThon 2021",Husker Heroes,No,Yes
"University of Nebraska, Lincoln - HuskerThon 2021",Phi Mu,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Phi Mu,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",PIKE,No,No
Huskerthon 2020,Alpha Phi,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",Alpha Phi,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",N/A,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",The Courtyards,Yes,No
Huskerthon 2020,Tri Delta,No,Yes
UNL Dance Marathon 2016,Kappa Delta,No,No
UNL Dance Marathon 2017,Phi Mu,No,No
UNL Dance Marathon 2016,Phi Gamma Delta,No,No
Huskerthon 2020,Paisley's Angels,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",Big Red Believers,No,No
"University of Nebraska, Lincoln - HuskerThon 2023",Kappa Delta,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Kappa Delta,No,Yes
"University of Nebraska, Lincoln - HuskerThon 2022",Alpha Chi Omega,No,Yes
UNL Dance Marathon 2017,Alpha Phi,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",Phi Mu,No,Yes
"University of Nebraska, Lincoln - HuskerThon 2022",Phi Mu,No,Yes
UNL Dance Marathon 2016,Chi Omega,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",Pi Beta Phi,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Pi Beta Phi,No,No
UNL Dance Marathon 2017,PIKE,No,No
UNL Dance Marathon 2015,N/A,No,No
UNL Dance Marathon 2016,Alpha Xi Delta,No,No
UNL Dance Marathon 2016,Pi Kappa Alpha,No,No
UNL Dance Marathon 2017,PIKE,No,No
HuskerThon 2018,Miracle Makers,No,No
Huskerthon 2019,#GBR,No,No
Huskerthon 2019,Big Red Believers,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",Gamma Phi Beta,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Gamma Phi Beta,No,No
UNL Dance Marathon 2017,Kappa Kappa Gamma,No,No
Huskerthon 2020,Pi Beta Phi,No,No
"University of Nebraska, Lincoln - HuskerThon 2023",Alpha Chi Omega,No,No
"University of Nebraska, Lincoln - HuskerThon 2023",Alpha Gamma Rho,No,No
"University of Nebraska, Lincoln - HuskerThon 2023",Alpha Phi,No,No
"University of Nebraska, Lincoln - HuskerThon 2023",Alpha Tau Omega,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",N/A,No,Yes
"University of Nebraska, Lincoln - HuskerThon 2023",Engagement,Yes,Yes
"University of Nebraska, Lincoln - HuskerThon 2023",Track and Field,Yes,No
"University of Nebraska, Lincoln - HuskerThon 2023",Alumni,No,No
Huskerthon 2020,UNDM Alumni,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Alumni,No,No
UNL Dance Marathon 2015,N/A,No,No
Huskerthon 2019,Delta Delta Delta,No,No
UNL Dance Marathon 2016,Delta Delta Delta,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",N/A,No,No
UNL Dance Marathon 2015,Kappa Alpha Theta,No,No
"University of Nebraska, Lincoln - HuskerThon 2023",Alpha Xi Delta,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Phi Delta Theta,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Farmhouse Fraternity,No,No
"University of Nebraska, Lincoln - HuskerThon 2023",UNL Unified,No,No
Huskerthon 2020,Sigma Nu,No,No
"University of Nebraska, Lincoln - HuskerThon 2023",Chi Omega,No,No
UNL Dance Marathon 2016,Tau Kappa Epsilon,No,No
UNL Dance Marathon 2017,Delta Delta Delta,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Kappa Delta,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Gamma Phi Beta,No,Yes
UNL Dance Marathon 2015,Alpha Chi Omega,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",BizHA,No,No
Huskerthon 2019,Delta Delta Delta,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Delta Delta Delta,No,Yes
HuskerThon 2018,Sigma Alpha Epsilon,No,No
Huskerthon 2020,Sigma Alpha Epsilon,No,No
UNL Dance Marathon 2015,Heart and Sole,No,No
UNL Dance Marathon 2017,FarmHouse,No,No
HuskerThon 2018,Husker Heroes,No,No
Huskerthon 2019,Frosty's Fundraisers,No,No
Huskerthon 2019,Frosty's Fundraisers,No,No
Huskerthon 2019,PIKE,No,No
Huskerthon 2020,Husker Heroes,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",Pi Kappa Alpha,No,No
Huskerthon 2020,N/A,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Pi Beta Phi,No,No
Huskerthon 2020,Pi Beta Phi,No,No
HuskerThon 2018,Pi Beta Phi,No,No
"University of Nebraska, Lincoln - HuskerThon 2023",Farmhouse Fraternity,No,Yes
Huskerthon 2019,Frosty's Fundraisers,No,No
Huskerthon 2019,Delta Delta Delta,No,No
Huskerthon 2020,Tri Delta,No,No
UNL Dance Marathon 2015,Family Rep,No,No
UNL Dance Marathon 2017,Phi Mu,No,No
HuskerThon 2018,Phi Mu,No,No
Huskerthon 2019,Phi Mu,No,No
HuskerThon 2018,FarmHouse,No,No
Huskerthon 2019,#GBR,No,No
Huskerthon 2020,Farmhouse Fraternity,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",FarmHouse Fraternity,No,No
UNL Dance Marathon 2015,Phi Mu,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Chi Omega,No,Yes
"University of Nebraska, Lincoln - HuskerThon 2021",FarmHouse Fraternity,No,Yes
Huskerthon 2020,Sigma Phi Epsilon,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",Gamma Phi Beta,No,No
HuskerThon 2018,Sigma Phi Epsilon,No,No
Huskerthon 2019,Sigma Phi Epsilon,No,No
Huskerthon 2020,Sigma Phi Epsilon,No,No
UNL Dance Marathon 2015,Gamma Phi Beta,No,No
UNL Dance Marathon 2016,Gamma Phi Beta,No,No
UNL Dance Marathon 2017,Gamma Phi Beta,No,No
"University of Nebraska, Lincoln - HuskerThon 2023",N/A,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",Pi Kappa Alpha,No,Yes
"University of Nebraska, Lincoln - HuskerThon 2022",PIKE,No,Yes
"University of Nebraska, Lincoln - HuskerThon 2021",Delta Delta Delta,No,No
HuskerThon 2018,Delta Delta Delta,No,No
UNL Dance Marathon 2017,Beta Theta Pi,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Delta Delta Delta,No,No
HuskerThon 2018,Sigma Alpha Epsilon,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",N/A,No,No
Huskerthon 2020,Kappa Kappa Gamma,No,No
Huskerthon 2020,N/A,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Phi Delta Theta,No,No
Huskerthon 2020,UNL Athletic Training,No,Yes
"University of Nebraska, Lincoln - HuskerThon 2021",Athletic Training,No,Yes
UNL Dance Marathon 2017,Kappa Alpha Theta,No,No
Huskerthon 2020,Alpha Phi,No,No
UNL Dance Marathon 2017,Alpha Phi,No,No
UNL Dance Marathon 2015,Phi Mu,No,No
UNL Dance Marathon 2017,Phi Mu,No,No
Huskerthon 2019,Pi Beta Phi,No,No
UNL Dance Marathon 2016,Delta Tau Delta,No,No
UNL Dance Marathon 2017,Delta Tau Delta,No,No
UNL Dance Marathon 2015,Phi Kappa Theta,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",N/A,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Delta Delta Delta,No,No
UNL Dance Marathon 2015,Sigma Phi Epsilon,No,No
UNL Dance Marathon 2017,Sigma Phi Epsilon,No,No
HuskerThon 2018,Sigma Phi Epsilon,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",Sigma Alpha Epsilon,No,No
HuskerThon 2018,Kappa Kappa Gamma,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",N/A,No,No
HuskerThon 2018,Kappa Sigma,No,No
"University of Nebraska, Lincoln - HuskerThon 2021",Big Red Believers,No,Yes
"University of Nebraska, Lincoln - HuskerThon 2022",Delta Gamma,No,Yes
"University of Nebraska, Lincoln - HuskerThon 2023",Programming,No,Yes
Huskerthon 2020,N/A,No,Yes
"University of Nebraska, Lincoln - HuskerThon 2021",N/A,No,No
HuskerThon 2018,Kappa Sigma,No,No
"University of Nebraska, Lincoln - HuskerThon 2022",Alpha Xi Delta,No,Yes
UNL Dance Marathon 2015,Alpha Chi Omega,No,No
UNL Dance Marathon 2015,Pi Beta Phi,No,No
