,Team,Team Members Registered,Number Registered By First Date,Number Registered By Second Date,Number Registered By Third Date,Amount Fundraised,Number of Facebook Fundraisers Created,Registered Mobile App
0,Ad Club,1,1,1,1,0.0,0,0
2,Alpha Chi Omega,1,1,1,1,0.0,0,0
3,Alpha Gamma Rho,1,1,1,1,0.0,0,0
33,Alpha Gamma Sigma,2,2,2,2,40.0,0,0
43,Alpha Omicron Pi,2,2,2,2,440.63,0,2
4,Alpha Phi,1,1,1,1,0.0,0,0
5,Alpha Tau Omega,1,1,1,1,0.0,0,0
8,Alpha Xi Delta,21,2,21,21,777.0,5,3
7,Alumni,1,1,1,1,0.0,0,0
12,ASUN,1,1,1,1,0.0,0,0
15,Beta Theta Pi,1,1,1,1,0.0,0,0
19,BizHA,5,0,5,5,175.0,0,0
10,Chi Omega,17,8,17,17,1092.63,3,5
32,Citylight,4,1,4,4,280.0,2,1
17,Dancing for a Cause,7,6,7,7,2235.0,6,2
16,Delta Delta Delta,25,6,25,25,1157.0,6,5
48,Delta Gamma,6,2,6,6,497.0,3,0
22,Delta Upsilon,1,1,1,1,0.0,0,0
24,Engagement,15,14,15,15,3761.0,12,8
11,Farmhouse Fraternity,22,5,22,22,1025.0,7,3
47,Finance,6,6,6,6,1527.0,5,1
44,Forensics Club,1,1,1,1,0.0,0,0
14,Gamma Phi Beta,16,10,16,16,1621.0,8,9
26,Honors Program,2,1,2,2,10.0,0,0
25,Honors Societies,1,1,1,1,0.0,0,0
36,Husker Heroes,5,5,5,5,961.0,2,4
50,Jacht,1,1,1,1,25.0,0,1
27,Kappa Alpha Theta,1,1,1,1,0.0,0,0
1,Kappa Delta,7,3,7,7,145.0,1,2
30,Kappa Kappa Gamma,11,4,11,11,885.0,2,3
28,Kappa Kappa Psi,1,1,1,1,0.0,0,0
29,Kappa Sigma,1,1,1,1,0.0,0,0
31,Learning Communities,1,1,1,1,0.0,0,0
40,Marketing Squad!!!,5,5,5,5,820.0,2,1
21,Newman Center,4,4,4,4,662.0,2,3
37,Phi Delta Theta,1,1,1,1,0.0,0,0
38,Phi Kappa Theta,1,1,1,1,0.0,0,0
13,Phi Mu,36,9,36,36,2040.0,10,2
23,Pi Beta Phi,10,9,10,10,649.0,1,4
18,PIKE,26,4,26,26,815.0,1,4
39,Pre-Physical Therapy Club,1,1,1,1,0.0,0,0
46,Programming,14,14,14,14,4567.18,12,6
35,Raikes,4,3,4,4,267.0,3,3
41,Sigma Chi,1,1,1,1,0.0,0,0
42,Sigma Phi Epsilon,1,1,1,1,0.0,0,0
49,Student Alumni Association,1,1,1,1,130.0,1,1
45,The Courtyards,1,1,1,1,750.0,1,1
34,Theta Xi,2,0,2,2,45.0,0,0
6,Track and Field,1,1,1,1,25.0,0,1
9,UNL Unified,2,1,2,2,195.0,0,1
20,UNW,4,0,4,4,305.0,0,0
